# SatgeId | QuestionId | OptionId | OpDescription | markValue | charValue
# _____________________________________________ satge A Q1
B|Q4|OP1|You know that their voices might get the team and plan into danger, so you would command them to remain silent, otherwise you would punish them.|4|SH
B|Q4|OP2|You would separate them from working beside each other, and you would let another member replace his position with one of them.|5|CO
B|Q4|OP3|You don't like to interfere with such situations, so you would continue doing your work without caring of what might be happening between both of them|2|PL
B|Q4|OP4|You would calm them down, and you would try to listen to both of them in order to overcome this conflict and get back to work.|3|TW
B|Q4|OP5|You recognize that your body is weaker than both of them, and that they may hurt you accidentally, so you would decide to keep your distance, and be sufficient with watching.|1|IM
# ---------------------------- satge B Q5
B|Q5|OP1|Run away without waiting anyone.|1|SH
B|Q5|OP2|Give a solution so all of us can run away|5|PL
B|Q5|OP3|Keep calm and wait for an alternative plan to do it.|2|IM
B|Q5|OP4|I would motivate the team members to not give up.|4|TW
B|Q5|OP5|I would remind them that we are very close to our goal and that we can survive.|3|CO
# _____________________________________________ satge C Q1
C|Q1|OP1|I would keep encouraging the team members and remind them that we are very close to achieving our goal.|2|SH
C|Q1|OP2|We would go out of it one by one so I would divide the turns for how to go out.|4|CO
C|Q1|OP3|I would commit my turn, but if something wrong happens I would be the first one to give a solution.|1|PL
C|Q1|OP4|I would talk with the members and manage everything with them.|3|TW
C|Q1|OP5|I would commit my turn and do exactly as expected in the plan.|5|IM
# ---------------------------- satge C Q2
C|Q2|OP1|You would apply the following brilliant idea: invest the quarrel so you can go first.|1|PL
C|Q2|OP2|You would wait until the team take decision.|2|IM
C|Q2|OP3|You would listen to each one's idea and then take the decision with the rest of the team members by your skills.|3|CO
C|Q2|OP4|You would put some effort to convince the team to finish the quarrel.|4|TW
C|Q2|OP5|You would take the leader role from the start and from this position you would enforce the team to apply your previous plan because there is no time to these conflict.|5|SH
# ---------------------------- satge C Q3
C|Q3|OP1|I would force the person who missed the rope to return back and find the rope and who can climb should wait.|1|SH
C|Q3|OP2|I would suggest that who can climb should do, and at the same time ask about the best idea to help who can't climb with rope.|5|CO
C|Q3|OP3|I would give an idea to make our own rope by our clothes.|4|PL
C|Q3|OP4|I'll suggest helping who can't climb first.|3|TW
C|Q3|OP5|I will follow the exact instruction after finding the solution.|2|IM
# ---------------------------- satge C Q4
C|Q4|OP1|You can't risk him getting caught, that means your plan is failing, so you command the others to go back and help him with you.|4|SH
C|Q4|OP2|You are aware that the guards haven't known about your escape yet, and that the wall guard is busy with eating donuts and checking his phone, and thus you have time <br/> to help him, and that what you do.|5|CO
C|Q4|OP3|As the guards haven't noticed your absence yet, you decide to hide him between the tall wheat spikes, so you can come later and save him.|1|PL
C|Q4|OP4|You love him, and you don't imagine your life without him, so you decide to go back and hold him to the car.|3|TW
C|Q4|OP5|He shouts at you, and orders you to run as fast as possible, and that he will catch you up soon, and you do what he has told you to do.|2|IM
# ---------------------------- satge C Q5
C|Q5|OP1|You are planned for this before, you will go through the Forest between trees as there is someone waiting you in cottage.|5|PL
C|Q5|OP2|You are alone, so you can't do a lot.|4|TW
C|Q5|OP3|The Street, so you can escape by car.|3|CO
C|Q5|OP4|Fight them by one of police gun.|2|SH
C|Q5|OP5|Nowhere.|1|IM
